Iteration: 20, Cost: 19284
Iteration: 40, Cost: 17686
Iteration: 60, Cost: 15717
Iteration: 80, Cost: 15049
Iteration: 100, Cost: 14229
Iteration: 120, Cost: 13516
Iteration: 140, Cost: 12445
Iteration: 160, Cost: 12072
Iteration: 180, Cost: 11594
Iteration: 200, Cost: 11310
Iteration: 220, Cost: 10948
Iteration: 240, Cost: 10689
Iteration: 260, Cost: 10309
Iteration: 280, Cost: 10026
Iteration: 300, Cost: 9667
Iteration: 320, Cost: 9553
Iteration: 340, Cost: 9392
Iteration: 360, Cost: 9272
Iteration: 380, Cost: 9095
Iteration: 400, Cost: 8997
Iteration: 420, Cost: 8807
Iteration: 440, Cost: 8751
Iteration: 460, Cost: 8618
Iteration: 480, Cost: 8405
Iteration: 500, Cost: 8304
Iteration: 520, Cost: 8180
Iteration: 540, Cost: 8103
Iteration: 560, Cost: 8008
Iteration: 580, Cost: 7993
Iteration: 600, Cost: 7928
Iteration: 620, Cost: 7904
Iteration: 640, Cost: 7883
Iteration: 660, Cost: 7843
Iteration: 680, Cost: 7829
Iteration: 700, Cost: 7811
Iteration: 720, Cost: 7779
Iteration: 740, Cost: 7779
Iteration: 760, Cost: 7765
Iteration: 780, Cost: 7685
Iteration: 800, Cost: 7645
Iteration: 820, Cost: 7530
Iteration: 840, Cost: 7523
Iteration: 860, Cost: 7518
Iteration: 880, Cost: 7488
Iteration: 900, Cost: 7465
Iteration: 920, Cost: 7465
Iteration: 940, Cost: 7422
Iteration: 960, Cost: 7420
Iteration: 980, Cost: 7288
Iteration: 1000, Cost: 7287
Iteration: 1020, Cost: 7287
Iteration: 1040, Cost: 7259
Iteration: 1060, Cost: 7259
Iteration: 1080, Cost: 7139
Iteration: 1100, Cost: 7108
Iteration: 1120, Cost: 7084
Iteration: 1140, Cost: 7026
Iteration: 1160, Cost: 7021
Iteration: 1180, Cost: 7021
Iteration: 1200, Cost: 7021
Iteration: 1220, Cost: 6974
Iteration: 1240, Cost: 6927
Iteration: 1260, Cost: 6882
Iteration: 1280, Cost: 6882
Iteration: 1300, Cost: 6818
Iteration: 1320, Cost: 6786
Iteration: 1340, Cost: 6786
Iteration: 1360, Cost: 6712
Iteration: 1380, Cost: 6712
Iteration: 1400, Cost: 6712
Iteration: 1420, Cost: 6700
Iteration: 1440, Cost: 6646
